Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Chris Drury,R,C,80.00,23.00,30.00,53.00,-9.00,33.00,0.66,17.00,32.00,5.00,20.00,1.00,1.00,0.00,5.00,224.00,10.3,18:21,53.8
Ted Drury,L,C,34.00,5.00,7.00,12.00,-5.00,26.00,0.35,4.00,10.00,0.00,1.00,1.00,1.00,1.00,1.00,43.00,11.6,--,--
Dillon Dube,L,C,70.00,7.00,14.00,21.00,2.00,10.00,0.30,6.00,19.00,1.00,2.00,0.00,0.00,0.00,2.00,82.00,8.5,11:45,38.1
Steve Dubinsky,L,R,84.00,4.00,11.00,15.00,-19.00,18.00,0.18,2.00,12.00,0.00,0.00,2.00,3.00,0.00,0.00,98.00,4.1,13:56,47.9
Richie Dunn,L,D,80.00,3.00,11.00,14.00,-3.00,47.00,0.18,3.00,13.00,0.00,1.00,0.00,0.00,0.00,1.00,88.00,3.4,--,--
Micki Dupont,R,D,18.00,1.00,2.00,3.00,-5.00,6.00,0.17,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,29.00,3.5,15:38,--
Mike Dwyer,L,L,9.00,0.00,3.00,3.00,-1.00,4.00,0.33,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0,--,--
Bruce Eakin,L,C,9.00,2.00,1.00,3.00,-3.00,4.00,0.33,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,25,--,--
Dallas Eakins,L,D,20.00,0.00,1.00,1.00,0.00,15.00,0.05,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0,12:37,--
Mike Eaves,R,C,117.00,28.00,65.00,93.00,21.00,30.00,0.79,22.00,72.00,4.00,16.00,2.00,5.00,1.00,4.00,214.00,13.1,--,--
Neil Eisenhut,L,C,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0,--,--
Kari Eloranta,L,D,255.00,12.00,96.00,108.00,17.00,149.00,0.42,10.00,75.00,2.00,31.00,0.00,2.00,0.00,0.00,195.00,6.2,--,--
Turner Elson,L,C,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,14:54,--
Brian Engblom,L,D,32.00,0.00,4.00,4.00,-6.00,28.00,0.13,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0,--,--
Deryk Engelland,R,D,226.00,9.00,30.00,39.00,-7.00,192.00,0.17,9.00,37.00,0.00,0.00,0.00,2.00,0.00,2.00,229.00,3.9,16:03,100
Anders Eriksson,L,D,61.00,1.00,17.00,18.00,-5.00,36.00,0.30,0.00,13.00,1.00,5.00,0.00,0.00,0.00,0.00,50.00,2,20:46,--
Leonard Esau,R,D,7.00,0.00,3.00,3.00,-3.00,7.00,0.43,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0,--,--
Dean Evason,R,C,67.00,7.00,7.00,14.00,-6.00,38.00,0.21,6.00,10.00,1.00,3.00,0.00,1.00,0.00,1.00,68.00,10.3,--,--
Oscar Fantenberg,L,D,15.00,0.00,1.00,1.00,5.00,7.00,0.07,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0,15:50,--
Rico Fata,L,L,27.00,0.00,1.00,1.00,-4.00,10.00,0.04,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0,8:08,50
Glen Featherstone,L,D,13.00,1.00,3.00,4.00,-1.00,19.00,0.31,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,27.00,3.7,--,--
Paul Fenton,L,L,31.00,5.00,7.00,12.00,2.00,10.00,0.39,4.00,11.00,0.00,0.00,1.00,1.00,0.00,1.00,59.00,8.5,--,--
Andrew Ference,L,D,224.00,10.00,53.00,63.00,1.00,210.00,0.28,6.00,30.00,4.00,31.00,0.00,2.00,0.00,0.00,265.00,3.8,19:05,25
Brad Ference,R,D,5.00,0.00,0.00,0.00,-1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,11:46,--
Craig Ferguson,L,C,8.00,0.00,0.00,0.00,-4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0,--,--
Micheal Ferland,L,L,250.00,42.00,47.00,89.00,-10.00,135.00,0.36,33.00,76.00,9.00,13.00,0.00,0.00,0.00,2.00,406.00,10.3,12:49,42.1
Theo Fleury,R,R,791.00,364.00,466.00,830.00,148.00,1339.00,1.05,229.00,508.00,107.00,281.00,28.00,41.00,5.00,53.00,2685.00,13.6,--,55.2
Spencer Foo,R,R,4.00,2.00,0.00,2.00,1.00,0.00,0.50,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,12.5,15:51,100
Derek Forbort,L,D,7.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0,17:44,--
Thomas Forslund,L,R,44.00,5.00,11.00,16.00,-6.00,12.00,0.36,5.00,15.00,0.00,0.00,0.00,1.00,0.00,1.00,51.00,9.8,--,--
