Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Micheal Ferland,L,L,250,42,47,89,-10,135,0.36,33,76,9,13,0,0,0,2,406,MF,0.168,0.078244275,0.024096386,0.051399916,0.147260274,0.288958272,0.125175946
Dougie Hamilton,R,D,245,42,95,137,-1,174,0.56,29,94,13,42,0,1,2,12,682,DH,0.171428571,0.078244275,0.144578313,0.067697451,0.178082192,0.295196017,0.184652501
John Tonelli,L,L,161,40,76,116,7,166,0.72,23,79,17,37,0,0,0,5,298,JT,0.248447205,0.074427481,0.060240964,0.064354367,0.205479452,0.435319264,0.198820062
Martin Gelinas,L,L,157,38,49,87,7,121,0.55,27,66,11,21,0,0,1,6,291,MG,0.242038217,0.070610687,0.072289157,0.045549519,0.205479452,0.423659122,0.203559392
Dean McAmmond,L,C,137,38,43,81,11,78,0.59,26,52,11,26,1,3,1,9,253,DMA,0.277372263,0.070610687,0.108433735,0.027580443,0.219178082,0.487943842,0.250939384
Joe Colborne,L,C,217,37,63,100,-19,104,0.46,31,85,5,14,1,1,0,4,247,JC,0.170506912,0.06870229,0.048192771,0.038445466,0.116438356,0.293519203,0.140685203
Jamie Hislop,R,R,215,37,61,98,-6,65,0.46,33,93,1,1,3,4,0,2,242,JH,0.172093023,0.06870229,0.024096386,0.022147931,0.160958904,0.296404882,0.133050788
Jiri Hrdina,L,C,157,36,58,94,32,63,0.6,30,71,6,23,0,0,0,5,264,JH,0.229299363,0.066793893,0.060240964,0.02131216,0.29109589,0.400482788,0.192730554
Mark Jankowski,L,C,208,36,28,64,-13,59,0.31,27,51,2,3,7,10,0,4,255,MJ,0.173076923,0.066793893,0.048192771,0.019640618,0.136986301,0.298194932,0.146125624
Chris Clark,R,R,278,35,36,71,-29,363,0.26,25,56,9,13,1,2,1,8,462,CC,0.125899281,0.064885496,0.096385542,0.14667781,0.082191781,0.212362658,0.110290822
Brian MacLellan,L,L,134,35,35,70,15,95,0.52,20,50,15,20,0,0,0,5,224,BML,0.26119403,0.064885496,0.060240964,0.034684496,0.232876712,0.4585101,0.213076172
Mark Hunter,R,R,133,34,26,60,3,358,0.45,14,32,20,28,0,0,0,2,221,MH,0.255639098,0.062977099,0.024096386,0.144588383,0.191780822,0.448403778,0.168789737
Chuck Kobasew,R,R,210,34,37,71,-18,160,0.34,19,44,15,27,0,0,0,6,319,CK,0.161904762,0.062977099,0.072289157,0.061847054,0.119863014,0.277868948,0.141220457
Jason Wiemer,L,C,252,34,32,66,-41,567,0.26,27,53,7,13,0,0,1,7,348,JW,0.134920635,0.062977099,0.084337349,0.231926452,0.04109589,0.228775588,0.093591329
Steve Tambellini,L,C,120,34,20,54,-1,20,0.45,30,50,2,2,2,2,0,4,202,ST,0.283333333,0.062977099,0.048192771,0.003343084,0.178082192,0.498789069,0.229241106
Derek Morris,R,D,343,34,129,163,-12,385,0.48,16,83,16,74,2,6,2,10,771,DM,0.099125364,0.062977099,0.120481928,0.155871291,0.140410959,0.163651743,0.100825113
Michael Nylander,L,C,168,34,74,108,22,54,0.64,29,81,5,27,0,0,2,8,310,MN,0.202380952,0.062977099,0.096385542,0.017551191,0.256849315,0.351508988,0.191583838
Pekka Rautakallio,L,D,235,33,121,154,13,122,0.66,23,102,10,52,0,0,0,5,409,PR,0.140425532,0.061068702,0.060240964,0.045967405,0.226027397,0.238790879,0.122550223
Jeff Shantz,R,C,256,33,53,86,-8,151,0.34,23,66,9,18,1,2,2,4,314,JS,0.12890625,0.061068702,0.048192771,0.058086084,0.154109589,0.217833364,0.105719384
David Jones,R,R,174,32,30,62,-10,38,0.36,27,57,5,5,0,0,0,4,285,DJ,0.183908046,0.059160305,0.048192771,0.010865023,0.147260274,0.317900451,0.154999592
Dennis Wideman,R,D,280,32,104,136,-33,126,0.49,16,83,16,51,0,2,1,4,531,DW,0.114285714,0.059160305,0.048192771,0.047638947,0.068493151,0.191233607,0.096978069
Clarke Wilm,L,C,303,31,42,73,-7,250,0.24,20,58,5,9,6,6,0,0,343,CW,0.102310231,0.057251908,0,0.099456749,0.157534247,0.169446105,0.053612283
Lee Stempniak,R,R,160,31,52,83,-21,56,0.52,23,59,6,15,2,9,0,4,387,LS,0.19375,0.057251908,0.048192771,0.018386962,0.109589041,0.335806333,0.160466717
Dave Lowry,L,L,193,31,38,69,-24,131,0.36,22,52,8,16,1,1,0,6,231,DL,0.160621762,0.057251908,0.072289157,0.049728374,0.099315068,0.275534732,0.142137987
Stephane Yelle,L,C,339,31,65,96,2,174,0.28,22,72,6,17,3,7,0,5,407,SY,0.091445428,0.057251908,0.060240964,0.067697451,0.188356164,0.14967931,0.082177907
Perry Berezan,R,C,152,31,42,73,45,154,0.48,25,64,0,0,6,9,0,5,279,PB,0.203947368,0.057251908,0.060240964,0.059339741,0.335616438,0.354358835,0.165721259
Sandy McCarthy,R,R,276,30,25,55,-36,730,0.2,25,45,5,10,0,0,2,5,272,SMC,0.108695652,0.055343511,0.060240964,0.300041789,0.058219178,0.181063371,0.048071824
Oleg Saprykin,L,L,187,29,47,76,4,132,0.41,22,57,7,19,0,0,0,1,373,OS,0.155080214,0.053435115,0.012048193,0.05014626,0.195205479,0.26545276,0.10751946
Andrew Cassels,L,C,151,29,52,81,-19,50,0.54,17,45,10,27,2,9,1,5,235,AC,0.19205298,0.053435115,0.060240964,0.015879649,0.116438356,0.332718873,0.165375613
Robyn Regehr,L,D,826,29,134,163,30,802,0.2,17,110,11,44,1,9,0,3,900,RR,0.035108959,0.053435115,0.036144578,0.330129545,0.284246575,0.047183997,-0.02373651
Dustin Boyd,L,C,192,28,29,57,-12,35,0.3,26,49,1,5,1,3,0,7,208,DB,0.145833333,0.051526718,0.084337349,0.009611366,0.140410959,0.248629521,0.144850881
Mike Eaves,R,C,117,28,65,93,21,30,0.79,22,72,4,16,2,5,1,4,214,ME,0.239316239,0.051526718,0.048192771,0.007521939,0.253424658,0.418706914,0.195227435
Phil Russell,R,D,309,28,97,125,37,441,0.4,24,107,2,11,2,7,0,4,442,PR,0.090614887,0.051526718,0.048192771,0.179272879,0.308219178,0.148168272,0.05266179
Shean Donovan,R,R,175,28,37,65,21,161,0.37,21,55,3,5,4,5,2,9,292,SD,0.16,0.051526718,0.108433735,0.062264939,0.253424658,0.274403535,0.156677965
Dave Gagner,L,C,82,27,33,60,2,48,0.73,18,36,9,21,0,3,1,4,228,DG,0.329268293,0.049618321,0.048192771,0.015043878,0.188356164,0.582360478,0.258993633
Lance Bouma,L,L,304,27,40,67,-8,174,0.22,26,62,0,1,1,4,0,5,323,LB,0.088815789,0.049618321,0.060240964,0.067697451,0.154109589,0.144895099,0.079500863
Jonas Hoglund,R,R,118,25,24,49,-13,28,0.42,22,35,3,14,0,0,0,6,313,JH,0.211864407,0.045801527,0.072289157,0.006686168,0.136986301,0.368762637,0.186892552
Andrew Mangiapane,L,L,122,25,20,45,12,32,0.37,25,44,0,1,0,0,0,3,181,AM,0.204918033,0.045801527,0.036144578,0.00835771,0.22260274,0.356124806,0.163430822
Jean Pronovost,R,R,80,24,19,43,12,12,0.54,18,34,6,7,0,2,0,3,119,JP,0.3,0.04389313,0.036144578,0,0.22260274,0.529111438,0.234106177
Paul Kruse,L,L,246,24,29,53,0,614,0.22,24,53,0,0,0,0,0,3,226,PK,0.097560976,0.04389313,0.036144578,0.251567071,0.181506849,0.160805584,0.036470422
Tony Amonte,L,R,161,24,48,72,-1,83,0.45,18,48,4,20,2,4,0,4,294,TA,0.149068323,0.04389313,0.048192771,0.02966987,0.178082192,0.254515074,0.124357754
Chris Drury,R,C,80,23,30,53,-9,33,0.66,17,32,5,20,1,1,0,5,224,CD,0.2875,0.041984733,0.060240964,0.008775595,0.150684932,0.506369661,0.235111701
Derek Ryan,R,C,149,23,44,67,30,34,0.45,19,50,3,11,1,6,0,1,205,DR,0.154362416,0.041984733,0.012048193,0.009193481,0.284246575,0.26414684,0.11404261
Marty McInnis,R,L,91,23,30,53,-1,42,0.58,13,36,6,12,4,5,0,0,154,MMI,0.252747253,0.041984733,0,0.012536565,0.178082192,0.443142523,0.178948169
Bill Clement,L,C,211,23,46,69,-15,93,0.33,18,54,1,3,4,12,0,4,201,BC,0.109004739,0.041984733,0.048192771,0.033848725,0.130136986,0.181625706,0.094175396
Zarley Zalapski,L,D,178,21,55,76,7,220,0.43,12,48,9,28,0,0,0,4,309,ZZ,0.117977528,0.038167939,0.048192771,0.086920184,0.205479452,0.197950279,0.089709254
Dave Hindmarch,R,R,99,21,17,38,-14,25,0.38,21,38,0,0,0,0,0,1,146,DH,0.212121212,0.038167939,0.012048193,0.005432511,0.133561644,0.369229854,0.156446329
Adrian Aucoin,R,D,157,20,49,69,5,83,0.44,12,36,8,32,0,1,1,4,247,AA,0.127388535,0.036259542,0.048192771,0.02966987,0.198630137,0.215072121,0.107817214
Hnat Domenichelli,L,L,96,20,23,43,1,31,0.45,15,34,5,9,0,0,0,2,188,HD,0.208333333,0.036259542,0.024096386,0.007939824,0.184931507,0.362338406,0.159021545
Mike Sullivan,L,C,205,20,28,48,-17,54,0.23,16,41,0,0,4,7,0,5,228,MS,0.097560976,0.036259542,0.060240964,0.017551191,0.123287671,0.160805584,0.094558432
Troy Brouwer,R,R,150,19,28,47,-18,84,0.31,13,28,5,16,1,3,0,2,165,TB,0.126666667,0.034351145,0.024096386,0.030087756,0.119863014,0.213758796,0.094969274
Toni Lydman,L,D,289,19,74,93,-16,140,0.32,12,47,7,43,0,3,1,1,442,TL,0.065743945,0.034351145,0.012048193,0.053489344,0.126712329,0.102919518,0.039929149
Marcus Nilson,R,L,194,19,23,42,25,77,0.22,16,37,3,5,0,0,0,5,222,MN,0.097938144,0.034351145,0.060240964,0.027162557,0.267123288,0.161491783,0.092719798
Eric Nystrom,L,L,204,19,20,39,-13,191,0.19,18,36,0,0,1,3,0,5,216,EN,0.093137255,0.034351145,0.060240964,0.074801504,0.136986301,0.152757323,0.079698225
Kris Versteeg,R,R,93,18,27,45,-11,52,0.48,9,24,9,21,0,0,0,2,185,KV,0.193548387,0.032442748,0.024096386,0.01671542,0.143835616,0.33543953,0.146125196
Jay Bouwmeester,L,D,279,18,79,97,-38,134,0.35,13,59,5,35,0,3,0,2,413,JB,0.064516129,0.032442748,0.024096386,0.050982031,0.051369863,0.100685702,0.045370342
Steve Konroyd,L,D,350,18,83,101,25,386,0.29,16,81,1,17,1,3,0,2,463,SK,0.051428571,0.032442748,0.024096386,0.156289177,0.267123288,0.076874956,0.014784615
Frantisek Musil,L,D,335,18,45,63,96,505,0.19,14,53,3,7,1,3,0,2,309,FM,0.053731343,0.032442748,0.024096386,0.206017551,0.510273973,0.081064486,0.006514752
Wes Walz,R,C,92,17,39,56,27,27,0.61,12,42,5,14,0,0,0,1,152,WW,0.184782609,0.030534351,0.012048193,0.006268282,0.273972603,0.31949158,0.135620507
Garry Unger,L,C,79,17,16,33,2,39,0.42,16,29,1,4,0,0,0,3,170,GU,0.215189873,0.030534351,0.036144578,0.011282908,0.188356164,0.374812799,0.168794262
Steve Reinprecht,L,C,96,17,41,58,11,28,0.6,9,33,8,25,0,0,0,2,140,SR,0.177083333,0.030534351,0.024096386,0.006686168,0.219178082,0.305483963,0.13595798
Niklas Hagman,L,L,106,17,25,42,0,28,0.4,12,32,5,10,0,0,0,2,222,NH,0.160377358,0.030534351,0.024096386,0.006686168,0.181506849,0.275090079,0.123800426
Dana Murzyn,L,D,201,16,39,55,50,406,0.27,14,49,1,4,1,2,1,2,271,DM,0.07960199,0.028625954,0.024096386,0.164646887,0.352739726,0.128132045,0.033234229
Paul Byron,L,L,130,16,30,46,5,39,0.35,12,36,3,4,1,6,0,2,122,PB,0.123076923,0.028625954,0.024096386,0.011282908,0.198630137,0.207227824,0.095545336
Owen Nolan,R,R,77,16,16,32,6,71,0.42,14,25,1,6,1,1,0,3,163,ON,0.207792208,0.028625954,0.036144578,0.024655244,0.202054795,0.361353914,0.160545401
Garnet Hathaway,R,R,175,16,24,40,16,219,0.23,13,36,0,0,3,4,0,5,178,GH,0.091428571,0.028625954,0.060240964,0.086502298,0.23630137,0.149648643,0.075542075
Ed Ward,R,R,215,16,24,40,-12,284,0.19,16,40,0,0,0,0,0,1,175,EW,0.074418605,0.028625954,0.012048193,0.113664856,0.140410959,0.118701693,0.033634398
Mason Raymond,L,L,86,16,12,28,-11,16,0.33,16,27,0,1,0,0,0,1,176,MR,0.186046512,0.028625954,0.012048193,0.001671542,0.143835616,0.321791052,0.137268804
Josh Jooris,R,R,119,16,21,37,0,55,0.31,12,30,4,5,0,2,1,4,169,JJ,0.134453782,0.028625954,0.048192771,0.017969076,0.181506849,0.227926222,0.114535654
Jordan Leopold,L,D,233,16,55,71,-6,110,0.3,5,34,11,36,0,1,0,2,328,JL,0.068669528,0.028625954,0.024096386,0.040952779,0.160958904,0.108242155,0.050017095
