Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Dave Lowry,L,L,193,31,38,69,-24,131,0.36,22,52,8,16,1,1,0,6,231,13.4,14:38,17.9
Lynn Loyns,L,C,13,0,2,2,-2,2,0.15,0,1,0,0,0,1,0,0,6,0,10:50,44.2
Milan Lucic,L,L,68,8,12,20,-6,54,0.29,3,12,5,8,0,0,0,1,83,9.6,13:20,43.5
Jamie Lundmark,R,C,99,16,23,39,-6,72,0.39,14,27,2,12,0,0,0,2,130,12.3,11:59,53.3
Toni Lydman,L,D,289,19,74,93,-16,140,0.32,12,47,7,43,0,3,1,1,442,4.3,22:16,--
Lane MacDermid,L,L,1,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,0,--,4:08,--
Craig MacDonald,L,C,25,3,2,5,5,8,0.2,2,4,1,1,0,0,0,0,27,11.1,10:16,45.5
Al MacInnis,R,D,803,213,609,822,239,960,1.02,107,325,102,481,4,16,1,22,"2,891",7.4,--,--
Brian MacLellan,L,L,134,35,35,70,15,95,0.52,20,50,15,20,0,0,0,5,224,15.6,--,--
Bob MacMillan,L,R,177,54,81,135,10,71,0.76,42,107,5,20,7,8,0,6,357,15.1,--,--
Jamie Macoun,L,D,586,62,184,246,213,666,0.42,54,219,4,18,4,9,1,6,966,6.4,--,--
Sergei Makarov,L,R,297,94,198,292,62,199,0.98,68,200,26,92,0,0,0,14,399,23.6,--,--
Tomi Maki,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:56,--
Stewart Malgunas,--,D,4,0,1,1,1,2,0.25,0,1,0,0,0,0,0,0,0,--,12:57,--
Andrew Mangiapane,L,L,122,25,20,45,12,32,0.37,25,44,0,1,0,0,0,3,181,13.8,12:10,35.9
Bryan Marchment,L,D,37,1,2,3,8,75,0.08,1,3,0,0,0,0,0,0,16,6.3,13:07,0
Nevin Markwart,L,L,10,2,1,3,-2,25,0.3,2,3,0,0,0,0,0,0,4,50,--,--
Brad Marsh,L,D,177,3,22,25,-34,216,0.14,3,24,0,0,0,1,0,0,148,2,--,--
Stephane Matteau,L,L,82,16,19,35,19,112,0.43,15,30,0,0,1,5,0,1,121,13.2,--,--
Alan May,R,L,7,1,2,3,2,13,0.43,1,3,0,0,0,0,0,0,5,20,--,--
Jamal Mayers,R,R,27,1,5,6,2,53,0.22,1,6,0,0,0,0,0,1,28,3.6,9:11,55.7
Gary Mcadam,L,R,46,12,15,27,-6,18,0.59,12,25,0,0,0,2,0,1,72,16.7,--,--
Dean McAmmond,L,C,137,38,43,81,11,78,0.59,26,52,11,26,1,3,1,9,253,15,17:58,50.1
Sandy McCarthy,R,R,276,30,25,55,-36,730,0.2,25,45,5,10,0,0,2,5,272,11,--,22.2
Darren McCarty,R,R,99,7,6,13,-4,175,0.13,6,11,1,2,0,0,0,0,82,8.5,9:40,50.8
Brad McCrimmon,L,D,231,16,67,83,109,272,0.36,9,62,3,14,4,7,0,4,277,5.8,--,--
Lanny McDonald,R,R,492,215,191,406,-3,408,0.83,153,278,61,127,1,1,0,25,"1,322",16.3,--,--
Brian McGrattan,R,R,137,8,7,15,-7,239,0.11,8,15,0,0,0,0,0,1,126,6.4,5:58,50
Marty McInnis,R,L,91,23,30,53,-1,42,0.58,13,36,6,12,4,5,0,0,154,14.9,--,41.3
Alex McKendry,L,L,36,3,6,9,-5,19,0.25,3,9,0,0,0,0,0,0,30,10,--,--
Dale Mctavish,L,C,9,1,2,3,-4,2,0.33,1,3,0,0,0,0,0,0,14,7.1,--,--
Greg Meredith,R,R,38,6,4,10,-4,8,0.26,3,7,2,2,1,1,0,0,44,13.6,--,--
Stefan Meyer,L,L,16,0,2,2,0,17,0.13,0,2,0,0,0,0,0,0,12,0,7:45,41.2
Brendan Mikkelson,L,D,19,0,1,1,-5,2,0.05,0,1,0,0,0,0,0,0,10,0,12:52,--
Corey Millen,R,C,92,15,25,40,-11,42,0.43,13,30,2,10,0,0,0,1,130,11.5,--,--
Brad Miller,L,D,8,0,1,1,-2,14,0.13,0,1,0,0,0,0,0,0,2,0,--,--
Freddy Modin,L,L,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,3,0,8:28,25
Carl Mokosak,L,L,42,7,7,14,-4,87,0.33,7,14,0,0,0,0,0,0,38,18.4,--,--
Sean Monahan,L,C,541,194,217,411,-25,119,0.76,135,287,57,121,2,3,11,40,"1,306",14.9,18:20,50.3
Steve Montador,R,D,94,4,5,9,-12,201,0.1,4,8,0,1,0,0,0,1,118,3.4,13:38,0
